timestamp,user_id,user_role,department,action,resource,resource_sensitivity,login_hour,device_id,ip_address,location,failed_attempts,data_downloaded_mb,privilege_change,audit_log_disabled,usual_device,usual_resource,approved_maintenance_window,label,rule_score,rule_reasons,triggered_rules,ml_anomaly_strength,ml_score,ml_prediction,final_score,risk_tier
2026-06-30 07:08:00,SYS-002,System Administrator,Infrastructure Operations,update_configuration,Linux Production Server,4,7,SYS-002-DEV-02,10.20.2.14,Mumbai HQ,0,0.94,False,False,True,True,True,normal,20,"[""Accessed high-sensitivity resource: Linux Production Server""]","{""after_hours_login"": false, ""unknown_device"": false, ""unusual_resource"": false, ""repeated_failed_attempts"": false, ""mass_download"": false, ""privilege_escalation"": false, ""audit_logging_disabled"": false, ""sensitive_data_access"": true}",0.5461949727716381,42.0,normal,28.8,Low
2026-06-30 09:11:08,AUD-004,Privileged Auditor,Internal Audit,review_access_records,Audit Log Repository,4,9,AUD-004-DEV-01,10.60.4.168,Regional Audit Office,0,0.0,False,False,True,True,True,normal,20,"[""Accessed high-sensitivity resource: Audit Log Repository""]","{""after_hours_login"": false, ""unknown_device"": false, ""unusual_resource"": false, ""repeated_failed_attempts"": false, ""mass_download"": false, ""privilege_escalation"": false, ""audit_logging_disabled"": false, ""sensitive_data_access"": true}",0.5335084832470908,24.0,normal,21.6,Low
2026-06-30 09:30:07,AUD-002,Privileged Auditor,Internal Audit,review_access_records,Audit Log Repository,4,9,AUD-002-DEV-01,10.60.2.172,Mumbai HQ,0,2.05,False,False,True,True,True,normal,20,"[""Accessed high-sensitivity resource: Audit Log Repository""]","{""after_hours_login"": false, ""unknown_device"": false, ""unusual_resource"": false, ""repeated_failed_attempts"": false, ""mass_download"": false, ""privilege_escalation"": false, ""audit_logging_disabled"": false, ""sensitive_data_access"": true}",0.4376640956064868,0.0,normal,12.0,Low
2026-06-30 09:35:46,SYS-004,System Administrator,Infrastructure Operations,download_report,Network Configuration System,5,9,SYS-004-DEV-01,10.20.4.208,Pune Data Centre,0,72.4,False,False,True,True,True,normal,20,"[""Accessed high-sensitivity resource: Network Configuration System""]","{""after_hours_login"": false, ""unknown_device"": false, ""unusual_resource"": false, ""repeated_failed_attempts"": false, ""mass_download"": false, ""privilege_escalation"": false, ""audit_logging_disabled"": false, ""sensitive_data_access"": true}",0.5541990437972156,52.0,normal,32.8,Medium
2026-06-30 09:40:49,AUD-005,Privileged Auditor,Internal Audit,generate_compliance_report,Audit Log Repository,4,9,AUD-005-DEV-01,10.60.5.144,Mumbai HQ,0,2.38,False,False,True,True,True,normal,20,"[""Accessed high-sensitivity resource: Audit Log Repository""]","{""after_hours_login"": false, ""unknown_device"": false, ""unusual_resource"": false, ""repeated_failed_attempts"": false, ""mass_download"": false, ""privilege_escalation"": false, ""audit_logging_disabled"": false, ""sensitive_data_access"": true}",0.4372404772487983,0.0,normal,12.0,Low
2026-06-30 09:55:27,APP-002,Application Administrator,Application Operations,review_application_logs,Payment Gateway Console,5,9,APP-002-DEV-01,10.40.2.68,Pune Technology Centre,0,2.79,False,False,True,True,True,normal,20,"[""Accessed high-sensitivity resource: Payment Gateway Console""]","{""after_hours_login"": false, ""unknown_device"": false, ""unusual_resource"": false, ""repeated_failed_attempts"": false, ""mass_download"": false, ""privilege_escalation"": false, ""audit_logging_disabled"": false, ""sensitive_data_access"": true}",0.4269765659581596,0.0,normal,12.0,Low
2026-06-30 10:03:17,AUD-004,Privileged Auditor,Internal Audit,generate_compliance_report,Audit Log Repository,4,10,AUD-004-DEV-01,10.60.4.56,Mumbai HQ,0,2.02,False,False,True,True,True,normal,20,"[""Accessed high-sensitivity resource: Audit Log Repository""]","{""after_hours_login"": false, ""unknown_device"": false, ""unusual_resource"": false, ""repeated_failed_attempts"": false, ""mass_download"": false, ""privilege_escalation"": false, ""audit_logging_disabled"": false, ""sensitive_data_access"": true}",0.4346313716691521,0.0,normal,12.0,Low
2026-06-30 10:19:20,SEC-005,Security Administrator,Cyber Security Operations,download_report,Firewall Console,5,10,SEC-005-DEV-02,10.30.5.90,Mumbai SOC,1,18.34,False,False,True,True,True,normal,20,"[""Accessed high-sensitivity resource: Firewall Console""]","{""after_hours_login"": false, ""unknown_device"": false, ""unusual_resource"": false, ""repeated_failed_attempts"": false, ""mass_download"": false, ""privilege_escalation"": false, ""audit_logging_disabled"": false, ""sensitive_data_access"": true}",0.6633975979793812,96.67,anomaly,50.67,Medium
2026-06-30 10:28:29,APP-002,Application Administrator,Application Operations,application_login,Payment Gateway Console,5,10,APP-002-DEV-01,10.40.2.186,Mumbai HQ,0,4.09,False,False,True,True,True,normal,20,"[""Accessed high-sensitivity resource: Payment Gateway Console""]","{""after_hours_login"": false, ""unknown_device"": false, ""unusual_resource"": false, ""repeated_failed_attempts"": false, ""mass_download"": false, ""privilege_escalation"": false, ""audit_logging_disabled"": false, ""sensitive_data_access"": true}",0.4497582231667322,0.0,normal,12.0,Low
2026-06-30 10:30:10,VEN-005,External Vendor,Third-Party Services,download_report,Vendor Support Portal,2,10,VEN-005-DEV-01,10.50.5.201,Approved Vendor Network,0,21.62,False,False,True,True,True,normal,0,"[""No rule-based risk indicators detected""]","{""after_hours_login"": false, ""unknown_device"": false, ""unusual_resource"": false, ""repeated_failed_attempts"": false, ""mass_download"": false, ""privilege_escalation"": false, ""audit_logging_disabled"": false, ""sensitive_data_access"": false}",0.5906002325334664,76.0,normal,30.4,Medium
